場コード,年,回,日,R,馬番,血統登録番号,馬名,ＩＤＭ,騎手指数,情報指数,予備1,予備2,予備3,総合指数,脚質,距離適性,上昇度,ローテーション,基準オッズ,基準人気順位,基準複勝オッズ,基準複勝人気順位,特定情報◎,特定情報○,特定情報▲,特定情報△,特定情報×,総合情報◎,総合情報○,総合情報▲,総合情報△,総合情報×,人気指数,調教指数,厩舎指数,調教矢印コード,厩舎評価コード,騎手期待連対率,激走指数,蹄コード,重適正コード,クラスコード,予備,ブリンカー,騎手名,負担重量,見習い区分,調教師名,調教師所属,前走1競走成績キー,前走2競走成績キー,前走3競走成績キー,前走4競走成績キー,前走5競走成績キー,前走1レースキー,前走2レースキー,前走3レースキー,前走4レースキー,前走5レースキー,枠番,総合印,ＩＤＭ印,情報印,騎手印,厩舎印,調教印,激走印,芝適性コード,ダ適性コード,騎手コード,調教師コード,獲得賞金,収得賞金,条件クラス,テン指数,ペース指数,上がり指数,位置指数,ペース予想,道中順位,道中差,道中内外,後3Ｆ順位,後3Ｆ差,後3Ｆ内外,ゴール順位,ゴール差,ゴール内外,展開記号,距離適性2,枠確定馬体重,枠確定馬体重増減,取消フラグ,性別コード,馬主名,馬主会コード,馬記号コード,激走順位,LS指数順位,テン指数順位,ペース指数順位,上がり指数順位,位置指数順位,騎手期待単勝率,騎手期待3着内率,輸送区分,走法,体型,体型総合1,体型総合2,体型総合3,馬特記1,馬特記2,馬特記3,馬スタート指数,馬出遅率,参考前走,参考前走騎手コード,万券指数,万券印,降級フラグ,激走タイプ,休養理由分類コード,フラグ,入厩何走目,入厩年月日,入厩何日前,放牧先,放牧先ランク,厩舎ランク,改行,年月日,race_key
3,25,3,5,12,6,22106874,ナムラトロム,32.0,0.3,0.0,0.0,0.0,0.0,32.3,3,1.0,3.0,12.0,38.3,14,9.3,14,,1.0,,,,2.0,1.0,,8.0,,18.0,-7.2,-2.0,3,3,5.8,160,4.0,3.0,15.0,,,丸田恭介,570,,石栗龍彦,美浦,2210687420250824.0,2210687420250803.0,2210687420250621.0,2210687420250615.0,2210687420250316.0,4253207.0,4252412.0,2251309.0,2251208.0,6252606.0,3,,,,,,,,2,,10537,10351,1490.0,400.0,1,-8.5,-17.9,-8.0,-6.9,H,9.0,9.0,2.0,10.0,9.0,2.0,15.0,14.0,1.0,0,,,,,1,奈村　睦弘氏,8.0,0,10.0,5.0,8.0,15.0,12.0,12.0,2.6,9.8,2,,3323333221333333,,,,,,,0.4,8.0,14.0,10507,32,,0,,1.0,000009,1,20251018,35.0,井ノ岡トレーニングセンター,E,8,,20251122,03_3_5_12
3,25,3,5,12,7,22105269,ナリノエンブレム,37.0,0.2,-1.0,0.0,0.0,0.0,36.2,2,,3.0,8.0,31.4,12,7.7,12,,,,,,,,,3.0,,1.0,-11.9,-10.0,3,3,3.6,181,3.0,3.0,15.0,,,鮫島克駿,550,,加藤征弘,美浦,2210526920250921.0,2210526920250712.0,2210526920250621.0,2210526920250413.0,2210526920250216.0,6254708.0,2251912.0,2251308.0,6253608.0,8251604.0,4,,,,,,,,3,2,10578,10369,720.0,400.0,1,-17.3,-10.3,-9.9,-7.1,H,13.0,13.0,2.0,12.0,10.0,3.0,12.0,8.0,2.0,0,,,,,2,成塚　清志氏,5.0,0,3.0,5.0,13.0,13.0,15.0,13.0,1.4,6.8,2,,2323332221222223,162.0,,,395.0,889.0,162.0,-0.1,17.0,1.0,10578,36,,0,A4,,000000,1,20251024,29.0,山元トレーニングセンター,A,2,,20251122,03_3_5_12
3,25,3,5,12,8,20103225,アルヴィエンヌ,31.2,0.2,-1.0,0.0,0.0,0.0,30.4,3,5.0,3.0,12.0,41.0,15,9.9,15,,,,,,1.0,,1.0,,,4.0,-11.9,-10.0,3,3,3.6,171,23.0,3.0,15.0,,,石川裕紀人,560,,浅利英明,美浦,2010322520250824.0,2010322520250622.0,2010322520250503.0,2010322520250201.0,2010322520250105.0,4253207.0,5253608.0,4251108.0,5251112.0,6251107.0,4,,,,,,,,2,2,10570,10513,2123.0,400.0,1,-15.1,-23.2,-9.8,-14.9,H,11.0,12.0,3.0,16.0,15.0,3.0,16.0,19.0,2.0,0,2.0,,,,2,@@@@@@@@@@@@@@@@@,5.0,0,7.0,5.0,12.0,16.0,14.0,16.0,1.4,6.8,2,,3333222222333333,162.0,,,734.0,171.0,189.0,-0.4,21.0,1.0,10555,40,7.0,0,B1,1.0,000001,1,20251112,10.0,ノーザンファーム天栄,A,7,,20251122,03_3_5_12
3,25,3,5,12,9,22102878,ナンナンプー,43.0,0.8,0.0,0.0,0.0,0.0,43.8,3,1.0,3.0,1.0,13.7,9,3.8,9,,,,4.0,,6.0,3.0,4.0,33.0,,122.0,1.0,-2.9,3,3,13.5,172,23.0,2.0,15.0,,,舟山瑠泉,520,3.0,水野貴広,美浦,2210287820251109.0,2210287820250808.0,2210287820250716.0,2210287820250626.0,2210287820250524.0,3253212.0,41258810.0,,,4251707.0,5,,,,,,,,2,2,10641,10404,891.0,150.0,1,-8.6,-8.2,-5.4,-6.7,H,10.0,9.0,3.0,9.0,8.0,3.0,6.0,4.0,1.0,0,5.0,,,,2,友水　達也氏,6.0,5,6.0,5.0,10.0,9.0,7.0,11.0,6.0,22.5,2,,2223332121332322,162.0,,,162.0,735.0,,-0.6,17.0,1.0,10641,50,4.0,0,,,000200,2,20251001,,阿見トレーニングセンター,C,8,,20251122,03_3_5_12
3,25,3,5,12,10,21106395,ハッピーサプライズ,43.0,0.2,0.0,0.0,0.0,0.0,43.2,3,1.0,3.0,1.0,41.1,16,9.9,16,,,,1.0,,,2.0,,5.0,,4.0,-11.9,-7.4,3,3,3.6,170,23.0,3.0,15.0,,,菊沢一樹,580,,佐藤吉勝,美浦,2110639520251109.0,2110639520251013.0,2110639520250817.0,2110639520250803.0,2110639520250720.0,3253207.0,5254512.0,7253812.0,4252412.0,3252809.0,5,,,,,,,,3,2,10581,10342,1238.0,400.0,1,-14.2,-10.0,-5.9,-5.6,H,12.0,12.0,4.0,11.0,9.0,4.0,14.0,9.0,3.0,0,,,,,1,田頭　勇貴氏,5.0,0,8.0,5.0,11.0,11.0,8.0,9.0,1.4,6.8,2,,2223333222333333,162.0,136.0,,162.0,,,0.0,14.0,1.0,10581,38,,0,B2,,000000,2,20251029,,有限会社高橋トレーニングセンター,D,8,,20251122,03_3_5_12
3,25,3,5,12,11,20105073,ガットネロ,47.0,0.8,0.0,0.0,0.0,0.0,47.8,1,5.0,3.0,1.0,13.1,8,3.6,8,,1.0,,4.0,,3.0,3.0,2.0,33.0,,94.0,4.8,-10.0,3,3,13.5,133,10.0,2.0,15.0,,,斎藤新,560,,東田明士,栗東,2010507320251108.0,2010507320250713.0,2010507320250628.0,2010507320250426.0,2010507320250323.0,3253107.0,10252612.0,10252112.0,3251507.0,7252412.0,6,4.0,3.0,,,,5.0,,2,2,10598,10518,2756.0,400.0,1,-3.5,-3.7,-7.3,-2.3,H,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,2.0,1,2.0,,,,2,山口　敦広氏,8.0,0,16.0,5.0,3.0,4.0,9.0,3.0,6.0,22.5,3,,2322222221122221,,,,153.0,889.0,85.0,0.1,9.0,1.0,10598,45,5.0,0,,,000000,2,20251021,,チャンピオンヒルズ,A,6,,20251122,03_3_5_12
3,25,3,5,12,12,22101464,レイユール,41.0,1.5,0.9,0.0,0.0,0.0,43.4,3,5.0,3.0,10.0,6.6,2,2.4,2,2.0,,2.0,1.0,,16.0,4.0,6.0,15.0,,198.0,3.5,5.4,2,3,25.1,137,24.0,3.0,15.0,,,丹内祐次,550,,手塚貴久,美浦,2210146420250907.0,2210146420250816.0,2210146420250713.0,2210146420250215.0,2210146420250112.0,6254212.0,4252706.0,3252609.0,5251511.0,6251411.0,6,,,5.0,2.0,5.0,,,2,,10515,10344,1155.0,400.0,1,-30.0,-14.9,-1.3,-7.3,H,16.0,23.0,2.0,15.0,15.0,2.0,10.0,5.0,4.0,2,,,,,2,榊原　源一郎氏,6.0,0,14.0,1.0,16.0,14.0,1.0,14.0,10.4,40.0,2,,3223233222332323,,,,71.0,56.0,120.0,0.0,14.0,1.0,10582,33,,0,,1.0,000001,1,20251021,32.0,阿見トレーニングセンター,C,3,,20251122,03_3_5_12
3,25,3,5,12,13,22105996,ルシェロアズーリ,44.2,1.0,1.5,0.0,0.0,0.0,46.7,1,1.0,3.0,,10.8,6,3.1,6,,2.0,,4.0,,7.0,6.0,10.0,29.0,,138.0,11.3,5.0,3,3,17.6,224,4.0,3.0,15.0,,,津村明秀,550,,鈴木伸尋,美浦,2210599620251116.0,2210599620250921.0,2210599620250713.0,2210599620250628.0,2210599620250412.0,3253407.0,6254708.0,3252604.0,3252108.0,3251106.0,7,5.0,,3.0,6.0,6.0,2.0,1.0,2,3,10507,10332,1010.0,400.0,1,-2.6,0.6,-13.0,-0.4,H,1.0,,2.0,1.0,,2.0,1.0,,1.0,1,,,,,2,米山　晴敏氏,,0,1.0,3.0,2.0,2.0,16.0,1.0,7.3,26.8,2,,2332132322331223,162.0,,,873.0,162.0,62.0,0.7,0.0,1.0,10641,81,1.0,0,A1,,000009,2,20251024,,ブルーステーブル,B,3,,20251122,03_3_5_12
3,25,3,5,12,14,22101431,ダニエルバローズ,37.0,0.5,0.0,0.0,0.0,0.0,37.5,1,1.0,3.0,4.0,19.6,11,5.1,11,,,,1.0,,4.0,1.0,1.0,3.0,,81.0,-10.0,6.0,3,3,9.2,181,3.0,3.0,35.0,,3,和田陽希,540,3.0,杉山晴紀,栗東,2210143120251018.0,2210143120250628.0,2210143120250419.0,2210143120250202.0,2210143120250118.0,4254108.0,10252112.0,3251306.0,10251401.0,7251602.0,7,,,,,4.0,,1.0,2,3,10643,10466,688.0,400.0,1,-1.6,1.3,-7.8,-0.5,H,4.0,2.0,4.0,2.0,1.0,3.0,7.0,4.0,2.0,1,,,,,1,猪熊　広次氏,5.0,0,3.0,5.0,1.0,1.0,10.0,2.0,3.7,16.3,3,,2221212212322233,162.0,136.0,,171.0,62.0,167.0,0.1,0.0,3.0,10602,50,3.0,0,A3,,100001,1,20251108,14.0,キャニオンファーム土山,B,2,,20251122,03_3_5_12
3,25,3,5,12,15,21104137,ミエノブラボー,45.0,1.0,0.0,0.0,0.0,0.0,46.0,3,1.0,3.0,7.0,9.1,5,3.0,5,,,,5.0,,7.0,9.0,1.0,18.0,,130.0,5.4,-4.7,2,3,17.4,177,3.0,3.0,15.0,,,柴田善臣,560,,田中勝春,美浦,2110413720250928.0,2110413720250914.0,2110413720250830.0,2110413720250525.0,2110413720250511.0,6254907.0,6254412.0,4253309.0,4251808.0,4251412.0,8,7.0,6.0,,5.0,,4.0,,2,3,10324,10516,1940.0,400.0,1,-21.1,-3.4,-3.5,-11.0,H,14.0,18.0,2.0,14.0,13.0,2.0,9.0,4.0,5.0,0,5.0,,,,2,里見　美惠子氏,6.0,0,5.0,4.0,14.0,3.0,5.0,15.0,7.4,27.2,2,,3223332122333322,162.0,,,162.0,421.0,305.0,0.0,16.0,1.0,10324,39,8.0,0,,,000000,1,20251029,24.0,小野瀬ファーム,E,7,,20251122,03_3_5_12
